# t (s),mx (),my (),mz (),B_extx (T),B_exty (T),B_extz (T),B_anisx (T),B_anisy (T),B_anisz (T),B_demagx (T),B_demagy (T),B_demagz (T),B_effx (T),B_effy (T),B_effz (T),B_exchx (T),B_exchy (T),B_exchz (T),B_customx (T),B_customy (T),B_customz (T),E_anis (J),E_demag (J),E_exch (J),E_total (J),E_Zeeman (J),E_mel (J),E_custom (J),Edens_anis (J/m3),Edens_custom (J/m3),Edens_demag (J/m3),Edens_exch (J/m3),Edens_mel (J/m3),Edens_total (J/m3),Edens_Zeeman (J/m3),ExchCoupling (arb.),F_melx (N/m3),F_mely (N/m3),F_melz (N/m3),Edens_mel (J/m3),ExchCoupling (arb.)
0,-1.38E-05,-4.97E-06,-0.005920658,0.1,0,0,0,0,-7.40E-06,6.13E-07,2.18E-07,0.005700672,0.10000062,2.18E-07,0.00569327,3.73E-11,5.12E-11,9.31E-12,0.00E+00,0.00E+00,0.00E+00,-5.86E-22,1.58E-18,3.61E-18,5.18E-18,4.43E-22,0,0,-1.4654847,0,3940.8113,9021.799,0,12962.253,1.1071875,7.80E-11,0,0,0,0,7.80E-11
0.01,0.07488582,1.94E-03,-5.70E-03,0.1,0,0,0,0,-7.13E-06,-0.005644174,-4.38E-05,5.49E-03,0.09435582,-4.38E-05,5.49E-03,-7.45E-11,1.07E-10,5.12E-11,0.00E+00,0.00E+00,0.00E+00,-3.81E-21,3.88E-18,3.65E-18,5.13E-18,-2.40E-18,0,0,-9.513105,0,9711.133,9119.834,0,12830.588,-5990.8667,7.80E-11,0,0,0,0,7.80E-11
0.02,0.23090015,6.94E-03,-4.00E-03,0.10000001,0,0,0,0,-5.00E-06,-0.01703785,-1.73E-04,3.87E-03,0.08296215,-1.73E-04,3.86E-03,-1.49E-10,-6.52E-11,-8.61E-11,0.00E+00,0.00E+00,0.00E+00,-8.52E-21,8.42E-18,3.99E-18,5.01E-18,-7.39E-18,0,0,-21.289759,0,21057.07,9965.368,0,12529.138,-18472.014,7.80E-11,0,0,0,0,7.80E-11
0.03,0.39471176,1.34E-02,1.36E-03,0.1,0,0,0,0,1.70E-06,-0.028279534,-3.70E-04,-1.26E-03,0.071720466,-3.70E-04,-1.25E-03,1.49E-10,4.66E-11,-3.45E-10,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.26E-17,4.86E-18,4.84E-18,-1.26E-17,0,0,-26.731045,0,31573.44,12141.043,0,12110.8125,-31576.936,7.80E-11,0,0,0,0,7.80E-11
0.04,0.541771,1.25E-02,1.04E-02,0.1,0,0,0,0,1.30E-05,-0.037246652,-4.54E-04,-9.88E-03,0.06275335,-4.54E-04,-9.86E-03,2.24E-10,8.38E-11,1.86E-11,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.55E-17,6.48E-18,4.66E-18,-1.73E-17,0,0,-26.771856,0,38812.766,16193.394,0,11637.711,-43341.676,7.80E-11,0,0,0,0,7.80E-11
0.05,0.6357169,-2.56E-03,1.34E-02,0.1,0,0,0,0,1.68E-05,-0.041670248,-1.89E-04,-1.27E-02,0.058329757,-1.89E-04,-1.27E-02,0.00E+00,-2.42E-10,1.30E-10,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.64E-17,8.41E-18,4.50E-18,-2.03E-17,0,0,-26.698792,0,41124.508,21019.555,0,11260.005,-50857.36,7.80E-11,0,0,0,0,7.80E-11
0.06,0.6971399,-1.96E-02,6.07E-03,0.1,0,0,0,0,7.59E-06,-0.04346628,2.27E-04,-5.70E-03,0.056533724,2.27E-04,-5.69E-03,2.98E-10,2.42E-10,3.17E-10,0.00E+00,0.00E+00,0.00E+00,-1.07E-20,1.62E-17,1.04E-17,4.28E-18,-2.23E-17,0,0,-26.707405,0,40389.863,26113.078,0,10705.05,-55771.184,7.80E-11,0,0,0,0,7.80E-11
0.07,0.7430804,-2.45E-02,-3.79E-03,0.1,0,0,0,0,-4.74E-06,-0.04443922,5.01E-04,3.75E-03,0.055560775,5.01E-04,3.74E-03,1.49E-10,-7.82E-10,9.31E-11,0.00E+00,0.00E+00,0.00E+00,-1.02E-20,1.51E-17,1.27E-17,3.97E-18,-2.38E-17,0,0,-25.540333,0,37694.676,31693.965,0,9916.674,-59446.43,7.80E-11,0,0,0,0,7.80E-11
0.08,0.7725622,-1.55E-02,-7.89E-03,0.1,0,0,0,0,-9.86E-06,-0.04584602,5.81E-04,7.71E-03,0.054153986,5.81E-04,7.70E-03,0.00E+00,8.94E-10,1.49E-10,0.00E+00,0.00E+00,0.00E+00,-1.05E-20,1.38E-17,1.45E-17,3.57E-18,-2.47E-17,0,0,-26.16948,0,34596.83,36151.19,0,8916.87,-61804.98,7.80E-11,0,0,0,0,7.80E-11
0.09,0.79179436,-3.44E-03,-6.83E-03,0.1,0,0,0,0,-8.54E-06,-0.04820861,6.13E-04,6.75E-03,0.051791385,6.13E-04,6.74E-03,1.49E-10,-1.86E-10,-7.08E-10,0.00E+00,0.00E+00,0.00E+00,-9.63E-21,1.32E-17,1.52E-17,3.01E-18,-2.53E-17,0,0,-24.07549,0,32994.7,37903.688,0,7530.756,-63343.55,7.80E-11,0,0,0,0,7.80E-11
